from_zone,to_zone,from_transreg,to_transreg,transreg,line_type,region,project_name,existing_cap_mw,new_cap_mw,new_cap_year,total_cap_mw,trans_length_km,trans_efficiency
p81,p83,MISO,MISO,MISO,Planned Intra-Region,MISO,LRTP-14: Ipava Maple Ridge Tazewell Brokaw Paxton East | Reconductor Coffeen North-Roxford 345 kV line,2843.9,4292.0,2030.0,7135.9,257.7818915,0.980737964
p81,p93,MISO,SERTP,MISO / SERTP,Existing,Cross-Region,,2521.8,,,2521.8,665.3923882,0.961927569
p81,p107,MISO,MISO,MISO,Existing,MISO,,25.6,,,25.6,333.7771906,0.966393045
p81,p108,MISO,MISO,MISO,Existing,MISO,,100.9,,,100.9,540.8556463,0.969074185
p81,p82,MISO,MISO,MISO,Existing,MISO,LRTP-41: Woodford County - Fargo & Radbourn,1570.0,1792.0,2035.0,3362.0,104.3051796,0.963828464
p82,p83,MISO,MISO,MISO,Existing,MISO,,1283.6,,,1283.6,119.8480847,0.958473752
p83,p107,MISO,MISO,MISO,Planned Intra-Region,MISO,n7204,801.8,1000.0,2030.0,1801.8,282.5467344,0.978880189
p83,p105,MISO,MISO,MISO,Existing,MISO,,321.0,,,321.0,290.3483763,0.978286582
p84,p92,MISO,SERTP,MISO / SERTP,Existing,Cross-Region,,449.3,,,449.3,473.0100992,0.917812806
p84,p85,MISO,MISO,MISO,Existing,MISO,,3000.0,,,3000.0,268.5262587,0.979916888
p85,p92,MISO,SERTP,MISO / SERTP,Existing,Cross-Region,,1023.3,,,1023.3,555.0546368,0.958436865
p85,p86,MISO,MISO,MISO,Existing,MISO,,3957.5,,,3957.5,303.2595571,0.977306989
p85,p87,MISO,MISO,MISO,Existing,MISO,,1662.7,,,1662.7,355.3810012,0.97336455
p87,p88,MISO,SERTP,MISO / SERTP,Existing,Cross-Region,,1412.3,,,1412.3,255.6286883,0.980832296
p87,p89,MISO,SERTP,MISO / SERTP,Existing,Cross-Region,,1162.3,,,1162.3,364.0120159,0.972654855
p87,p90,MISO,SERTP,MISO / SERTP,Existing,Cross-Region,,1837.7,,,1837.7,280.480923,0.978854565
p87,p92,MISO,SERTP,MISO / SERTP,Existing,Cross-Region,,483.4,,,483.4,627.4445566,0.952984165
