GENERATION_PROJECT,BUILD_YEAR,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
p101_natural_gas_fired_combustion_turbine_1,1986.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1987.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1989.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1990.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1992.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1993.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1994.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1996.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,2000.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,2001.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,2002.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,2003.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,2005.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,2006.0,0,11788.6666666667,.,.
