GENERATION_PROJECT,PERIOD,gen_fixed_om_by_period,gen_variable_om_by_period,gen_storage_energy_fixed_om_by_period
p30_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p30_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p30_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p30_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p30_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p30_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p31_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p31_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p31_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p31_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p31_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p31_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p31_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p32_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
