load_zone,fuel,period,fuel_cost
p115,coal,2030,2.69379823264502
p115,coal,2035,2.69379823264502
p116,coal,2028,2.5571907609492
p116,coal,2030,2.5571907609492
p116,coal,2035,2.5571907609492
p117,coal,2028,2.5571907609492
p117,coal,2030,2.5571907609492
p117,coal,2035,2.5571907609492
p118,coal,2028,3.81803681480617
p118,coal,2030,3.81803681480617
p118,coal,2035,3.81803681480617
p119,coal,2028,2.69379823264502
p119,coal,2030,2.69379823264502
p119,coal,2035,2.69379823264502
p120,coal,2028,2.69379823264502
p120,coal,2030,2.69379823264502
p120,coal,2035,2.69379823264502
p121,coal,2028,3.22470861932147
p121,coal,2030,3.22470861932147
p121,coal,2035,3.22470861932147
p122,coal,2028,2.69379823264502
p122,coal,2030,2.69379823264502
p122,coal,2035,2.69379823264502
p123,coal,2028,3.22470861932147
p123,coal,2030,3.22470861932147
p123,coal,2035,3.22470861932147
p124,coal,2028,3.81803681480617
p124,coal,2030,3.81803681480617
p124,coal,2035,3.81803681480617
p125,coal,2028,3.22470861932147
p125,coal,2030,3.22470861932147
p125,coal,2035,3.22470861932147
p126,coal,2028,4.2240538266887
p126,coal,2030,4.2240538266887
p126,coal,2035,4.2240538266887
p127,coal,2028,2.53315832585791
p127,coal,2030,2.53315832585791
p127,coal,2035,2.53315832585791
p128,coal,2028,2.53315832585791
p128,coal,2030,2.53315832585791
p128,coal,2035,2.53315832585791
p129,coal,2028,5.90457116714559
p129,coal,2030,5.90457116714559
p129,coal,2035,5.90457116714559
p130,coal,2028,4.81295316252935
p130,coal,2030,4.81295316252935
p130,coal,2035,4.81295316252935
p131,coal,2028,5.90457116714559
p131,coal,2030,5.90457116714559
p131,coal,2035,5.90457116714559
p132,coal,2028,4.19423519618398
p132,coal,2030,4.19423519618398
p132,coal,2035,4.19423519618398
p133,coal,2028,5.90457116714559
p133,coal,2030,5.90457116714559
p133,coal,2035,5.90457116714559
p134,coal,2028,4.81295316252935
p134,coal,2030,4.81295316252935
p134,coal,2035,4.81295316252935
p1,uranium,2028,0.681891574703434
p1,uranium,2030,0.681891574703434
p1,uranium,2035,0.681891574703434
p2,uranium,2028,0.681891574703434
p2,uranium,2030,0.681891574703434
p2,uranium,2035,0.681891574703434
p3,uranium,2028,0.681891574703434
p3,uranium,2030,0.681891574703434
p3,uranium,2035,0.681891574703434
p4,uranium,2028,0.681891574703434
p4,uranium,2030,0.681891574703434
p4,uranium,2035,0.681891574703434
p5,uranium,2028,1.37390438022092
p5,uranium,2030,1.37390438022092
p5,uranium,2035,1.37390438022092
p6,uranium,2028,1.37390438022092
p6,uranium,2030,1.37390438022092
p6,uranium,2035,1.37390438022092
p7,uranium,2028,1.37390438022092
p7,uranium,2030,1.37390438022092
p7,uranium,2035,1.37390438022092
p8,uranium,2028,0.677938729916467
p8,uranium,2030,0.677938729916467
p8,uranium,2035,0.677938729916467
p9,uranium,2028,0.677938729916467
p9,uranium,2030,0.677938729916467
p9,uranium,2035,0.677938729916467
p10,uranium,2028,0.677938729916467
p10,uranium,2030,0.677938729916467
p10,uranium,2035,0.677938729916467
p11,uranium,2028,0.677938729916467
p11,uranium,2030,0.677938729916467
p11,uranium,2035,0.677938729916467
p12,uranium,2028,1.37390438022092
p12,uranium,2030,1.37390438022092
