region,avg_base,peak_base,avg_growth,peak_growth,year,avg_targ,peak_targ
p75,1232.53664383562,2150,1.03617013842234,1.02020648515781,2024,1277.11766485375,2193.44394308929
p75,1232.53664383562,2150,1.07364855575816,1.04082127235805,2025,1323.31118757312,2237.76573556981
p75,1232.53664383562,2150,1.11248257263688,1.06185261194989,2026,1371.17553640347,2282.98311569226
p75,1232.53664383562,2150,1.15272122128159,1.08330892099303,2027,1420.7711453565,2329.11418013502
p75,1232.53664383562,2150,1.19441530741771,1.1051987866264,2028,1472.16063435051,2376.17739124677
p75,1232.53664383562,2150,1.23761747442076,1.1275309695048,2029,1525.40888827488,2424.19158443532
p75,1232.53664383562,2150,1.28238226978446,1.15031440730507,2030,1580.58313891444,2473.1759757059
p75,1232.53664383562,2150,1.32876621399291,1.17355821830309,2031,1637.75304983699,2523.15016935165
p75,1232.53664383562,2150,1.37682787188396,1.19727170502306,2032,1696.99080435119,2574.13416579958
p75,1232.53664383562,2150,1.42662792659373,1.22146435796047,2033,1758.371196646,2626.14836961502
p75,1232.53664383562,2150,1.4782292561758,1.2461458593804,2034,1821.97172622654,2679.21359766785
p75,1232.53664383562,2150,1.53169701299162,1.27132608719243,2035,1887.87269576573,2733.35108746373
p75,1232.53664383562,2150,1.58709870597261,1.29701511890402,2036,1956.15731249533,2788.58250564365
p75,1232.53664383562,2150,1.64450428585755,1.32322323565361,2037,2026.91179326415,2844.92995665526
p75,1232.53664383562,2150,1.70398623351314,1.34996092632531,2038,2100.22547339638,2902.41599159942
p75,1232.53664383562,2150,1.76561965144906,1.37723889174673,2039,2176.19091948724,2961.06361725547
p75,1232.53664383562,2150,1.82948235864317,1.40506804897157,2040,2254.90404627852,3020.89630528887
p75,1232.53664383562,2150,1.89565498879652,1.43345953564882,2041,2336.4642377615,3081.93800164497
p75,1232.53664383562,2150,1.96422109214228,1.46242471448023,2042,2420.97447266017,3144.2131361325
p75,1232.53664383562,2150,2.03526724093714,1.49197517776779,2043,2508.54145445323,3207.74663220075
p75,1232.53664383562,2150,2.10888313876828,1.52212275205318,2044,2599.27574609897,3272.56391691433
p75,1232.53664383562,2150,2.18516173381406,1.5528795028509,2045,2693.29190963319,3338.69093112944
p75,1232.53664383562,2150,2.2641993362013,1.58425773947713,2046,2790.70865081638,3406.15413987582
p75,1232.53664383562,2150,2.34609573960746,1.61627001997602,2047,2891.64896901282,3474.98054294844
p75,1232.53664383562,2150,2.43095434726112,1.64892915614568,2048,2996.24031249082,3545.1976857132
p75,1232.53664383562,2150,2.51888230249993,1.68224821866561,2049,3104.61473934019,3616.83367013107
p75,1232.53664383562,2150,2.60999062405092,1.71624054232783,2050,3216.90908421015,3689.91716600484
p76,1345.23124592303,2347,1,1,2023,1345.23124592303,2347
p76,1345.23124592303,2347,1.03651586125061,1.02046322167838,2024,1394.35352344914,2395.02718127916
p76,1345.23124592303,2347,1.0743651306241,1.04134518679822,2025,1445.26954324572,2444.03715341542
p76,1345.23124592303,2347,1.11359649866647,1.06265446419938,2026,1498.04480535662,2494.05002747595
p76,1345.23124592303,2347,1.15426043390095,1.08439979806781,2027,1552.74720161623,2545.08632606516
p76,1345.23124592303,2347,1.19640924775235,1.10659011152367,2028,1609.44710298772,2597.16699174604
p76,1345.23124592303,2347,1.24009716184223,1.12923451028288,2029,1668.21745009063,2650.31339563391
